"Species","Period","EEZ","Model","Variable","RCP","Value","Totals"
"Merluccius productus","Begining","Canada","Average","Profit","Low",NA,NA
"Merluccius productus","Begining","USA","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Begining","USA","Average","Future_Landings","Low",66540.4410689037,NA
"Merluccius productus","Begining","USA","Average","Future_Revenue","Low",16631783.2451725,NA
"Merluccius productus","Begining","USA","Average","Profit","Low",NA,NA
"Merluccius productus","End Century","Canada","Average","Future_Cost","Low",NA,NA
"Merluccius productus","End Century","Canada","Average","Future_Landings","Low",14474.5481071776,NA
"Merluccius productus","End Century","Canada","Average","Future_Revenue","Low",3202493.76871305,NA
"Merluccius productus","End Century","Canada","Average","Profit","Low",NA,NA
"Merluccius productus","End Century","USA","Average","Future_Cost","Low",NA,NA
"Merluccius productus","End Century","USA","Average","Future_Landings","Low",54825.1233083399,NA
"Merluccius productus","End Century","USA","Average","Future_Revenue","Low",13703539.5709196,NA
"Merluccius productus","End Century","USA","Average","Profit","Low",NA,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Landings","Low",15284.5410071065,NA
"Merluccius productus","Mid Century","Canada","Average","Future_Revenue","Low",3381704.6978223,NA
"Merluccius productus","Mid Century","Canada","Average","Profit","Low",NA,NA
"Merluccius productus","Mid Century","USA","Average","Future_Cost","Low",NA,NA
"Merluccius productus","Mid Century","USA","Average","Future_Landings","Low",60999.6603870793,NA
"Merluccius productus","Mid Century","USA","Average","Future_Revenue","Low",15246865.1137505,NA
"Merluccius productus","Mid Century","USA","Average","Profit","Low",NA,NA
"Merluccius productus","Begining",NA,"Average","Future_Cost","Low",NA,0
"Merluccius productus","Begining",NA,"Average","Future_Landings","Low",NA,80625.777183178
"Merluccius productus","Begining",NA,"Average","Future_Revenue","Low",NA,19748163.8604557
"Merluccius productus","Begining",NA,"Average","Profit","Low",NA,0
"Merluccius productus","End Century",NA,"Average","Future_Cost","Low",NA,0
"Merluccius productus","End Century",NA,"Average","Future_Landings","Low",NA,69299.6714155175
"Merluccius productus","End Century",NA,"Average","Future_Revenue","Low",NA,16906033.3396326
"Merluccius productus","End Century",NA,"Average","Profit","Low",NA,0
"Merluccius productus","Mid Century",NA,"Average","Future_Cost","Low",NA,0
"Merluccius productus","Mid Century",NA,"Average","Future_Landings","Low",NA,76284.2013941857
"Merluccius productus","Mid Century",NA,"Average","Future_Revenue","Low",NA,18628569.8115728
"Merluccius productus","Mid Century",NA,"Average","Profit","Low",NA,0
